mix_id,R,f_FA,yCO2,w_SS,w_b,cement_mass_g,flyash_mass_g,gangue_mass_g,water_mass_g,sodium_silicate_mass_g,total_mass_g
MIX_0130,0.300000,0.100000,0.150000,0.020000,1.700000,27.000000,3.000000,100.000000,49.463347,3.693878,183.157224
MIX_0131,0.300000,0.100000,0.150000,0.020000,2.000000,27.000000,3.000000,100.000000,58.386939,3.877551,192.264490
MIX_0132,0.300000,0.100000,0.150000,0.030000,1.100000,27.000000,3.000000,100.000000,30.902845,5.041237,165.944082
MIX_0133,0.300000,0.100000,0.150000,0.030000,1.400000,27.000000,3.000000,100.000000,39.787052,5.319588,175.106639
MIX_0134,0.300000,0.100000,0.150000,0.030000,1.700000,27.000000,3.000000,100.000000,48.671258,5.597938,184.269196
MIX_0135,0.300000,0.100000,0.150000,0.030000,2.000000,27.000000,3.000000,100.000000,57.555464,5.876289,193.431753
MIX_0136,0.300000,0.100000,0.150000,0.040000,1.100000,27.000000,3.000000,100.000000,30.174667,6.791667,166.966333
MIX_0137,0.300000,0.100000,0.150000,0.040000,1.400000,27.000000,3.000000,100.000000,39.018667,7.166667,176.185333
MIX_0138,0.300000,0.100000,0.150000,0.040000,1.700000,27.000000,3.000000,100.000000,47.862667,7.541667,185.404333
MIX_0139,0.300000,0.100000,0.150000,0.040000,2.000000,27.000000,3.000000,100.000000,56.706667,7.916667,194.623333
MIX_0140,0.300000,0.100000,0.150000,0.050000,1.100000,27.000000,3.000000,100.000000,29.431158,8.578947,168.010105
MIX_0141,0.300000,0.100000,0.150000,0.050000,1.400000,27.000000,3.000000,100.000000,38.234105,9.052632,177.286737
MIX_0142,0.300000,0.100000,0.150000,0.050000,1.700000,27.000000,3.000000,100.000000,47.037053,9.526316,186.563368
MIX_0143,0.300000,0.100000,0.150000,0.050000,2.000000,27.000000,3.000000,100.000000,55.840000,10.000000,195.840000
MIX_0144,0.300000,0.100000,0.200000,0.020000,1.100000,27.000000,3.000000,100.000000,31.616163,3.326531,164.942694
MIX_0145,0.300000,0.100000,0.200000,0.020000,1.400000,27.000000,3.000000,100.000000,40.539755,3.510204,174.049959
MIX_0146,0.300000,0.100000,0.200000,0.020000,1.700000,27.000000,3.000000,100.000000,49.463347,3.693878,183.157224
MIX_0147,0.300000,0.100000,0.200000,0.020000,2.000000,27.000000,3.000000,100.000000,58.386939,3.877551,192.264490
MIX_0148,0.300000,0.100000,0.200000,0.030000,1.100000,27.000000,3.000000,100.000000,30.902845,5.041237,165.944082
MIX_0149,0.300000,0.100000,0.200000,0.030000,1.400000,27.000000,3.000000,100.000000,39.787052,5.319588,175.106639
MIX_0150,0.300000,0.100000,0.200000,0.030000,1.700000,27.000000,3.000000,100.000000,48.671258,5.597938,184.269196
MIX_0151,0.300000,0.100000,0.200000,0.030000,2.000000,27.000000,3.000000,100.000000,57.555464,5.876289,193.431753
MIX_0152,0.300000,0.100000,0.200000,0.040000,1.100000,27.000000,3.000000,100.000000,30.174667,6.791667,166.966333
MIX_0153,0.300000,0.100000,0.200000,0.040000,1.400000,27.000000,3.000000,100.000000,39.018667,7.166667,176.185333
MIX_0154,0.300000,0.100000,0.200000,0.040000,1.700000,27.000000,3.000000,100.000000,47.862667,7.541667,185.404333
MIX_0155,0.300000,0.100000,0.200000,0.040000,2.000000,27.000000,3.000000,100.000000,56.706667,7.916667,194.623333
MIX_0156,0.300000,0.100000,0.200000,0.050000,1.100000,27.000000,3.000000,100.000000,29.431158,8.578947,168.010105
MIX_0157,0.300000,0.100000,0.200000,0.050000,1.400000,27.000000,3.000000,100.000000,38.234105,9.052632,177.286737
MIX_0158,0.300000,0.100000,0.200000,0.050000,1.700000,27.000000,3.000000,100.000000,47.037053,9.526316,186.563368
MIX_0159,0.300000,0.100000,0.200000,0.050000,2.000000,27.000000,3.000000,100.000000,55.840000,10.000000,195.840000
