mix_id,R,f_FA,yCO2,w_SS,w_b,cement_mass_g,flyash_mass_g,gangue_mass_g,water_mass_g,sodium_silicate_mass_g,total_mass_g,cement_C3S_g,cement_C2S_g,cement_C3A_g,cement_C4AF_g,cement_Gypsum_g,cement_Periclase_g,flyash_Glass_g,flyash_Quartz_g,flyash_Mullite_g,flyash_Magnetite_g,flyash_Hematite_g,gangue_Quartz_g,gangue_Kaolinite_g,gangue_Illite_g,gangue_Iron_oxides_g,gangue_Amorphous_g,Ca_mol,Si_mol,Al_mol,Fe_mol,Mg_mol,K_mol,Na_mol,S_mol,O_mol,H_mol,C_mol,total_solid_mass_g,CO2_moles
MIX_0021,0.30000000,0.00000000,0.15000000,0.03000000,1.40000000,30.00000000,0.00000000,100.00000000,39.78705200,5.31958800,175.10663900,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.23991410,0.41126224,0.00901924,0.00367454,0.02910914,0.05012415,0.02805348,6.24955899,5.40396703,0.00536782,525.32691900,0.00536782
MIX_0022,0.30000000,0.00000000,0.15000000,0.03000000,1.70000000,30.00000000,0.00000000,100.00000000,48.67125800,5.59793800,184.26919600,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.24126683,0.41126224,0.00901924,0.00367454,0.02910914,0.05274692,0.02805348,6.75371349,6.40311881,0.00564869,552.81458800,0.00564869
MIX_0023,0.30000000,0.00000000,0.15000000,0.03000000,2.00000000,30.00000000,0.00000000,100.00000000,57.55546400,5.87628900,193.43175300,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.24261957,0.41126224,0.00901924,0.00367454,0.02910914,0.05536969,0.02805348,7.25786802,7.40227065,0.00592956,580.30225900,0.00592956
MIX_0024,0.30000000,0.00000000,0.15000000,0.04000000,1.10000000,30.00000000,0.00000000,100.00000000,30.17466700,6.79166700,166.96633300,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.24706816,0.41126224,0.00901924,0.00367454,0.02910914,0.06399490,0.02805348,5.77072750,4.40481518,0.00511828,500.90600100,0.00511828
MIX_0025,0.30000000,0.00000000,0.15000000,0.04000000,1.40000000,30.00000000,0.00000000,100.00000000,39.01866700,7.16666700,176.18533300,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.24889060,0.41126224,0.00901924,0.00367454,0.02910914,0.06752836,0.02805348,6.27628023,5.40396701,0.00540088,528.56300100,0.00540088
MIX_0026,0.30000000,0.00000000,0.15000000,0.04000000,1.70000000,30.00000000,0.00000000,100.00000000,47.86266700,7.54166700,185.40433300,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.25071304,0.41126224,0.00901924,0.00367454,0.02910914,0.07106182,0.02805348,6.78183297,6.40311884,0.00568349,556.22000100,0.00568349
MIX_0027,0.30000000,0.00000000,0.15000000,0.04000000,2.00000000,30.00000000,0.00000000,100.00000000,56.70666700,7.91666700,194.62333300,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.25253548,0.41126224,0.00901924,0.00367454,0.02910914,0.07459528,0.02805348,7.28738570,7.40227067,0.00596609,583.87700100,0.00596609
MIX_0028,0.30000000,0.00000000,0.15000000,0.05000000,1.10000000,30.00000000,0.00000000,100.00000000,29.43115800,8.57894700,168.01010500,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.25575406,0.41126224,0.00901924,0.00367454,0.02910914,0.08083566,0.02805348,5.79658363,4.40481512,0.00515027,504.03731500,0.00515027
MIX_0029,0.30000000,0.00000000,0.15000000,0.05000000,1.40000000,30.00000000,0.00000000,100.00000000,38.23410500,9.05263200,177.28673700,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.25805609,0.41126224,0.00901924,0.00367454,0.02910914,0.08529898,0.02805348,6.30356401,5.40396695,0.00543465,531.86721100,0.00543465
MIX_0030,0.30000000,0.00000000,0.15000000,0.05000000,1.70000000,30.00000000,0.00000000,100.00000000,47.03705300,9.52631600,186.56336800,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.26035812,0.41126224,0.00901924,0.00367454,0.02910914,0.08976230,0.02805348,6.81054441,6.40311884,0.00571902,559.69710600,0.00571902
MIX_0031,0.30000000,0.00000000,0.15000000,0.05000000,2.00000000,30.00000000,0.00000000,100.00000000,55.84000000,10.00000000,195.84000000,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.26266014,0.41126224,0.00901924,0.00367454,0.02910914,0.09422562,0.02805348,7.31752476,7.40227062,0.00600339,587.52700000,0.00600339
MIX_0032,0.30000000,0.00000000,0.20000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.23022816,0.41126224,0.00901924,0.00367454,0.02910914,0.03134444,0.02805348,5.72396900,4.40481512,0.00674166,494.83508200,0.00674166
MIX_0033,0.30000000,0.00000000,0.20000000,0.02000000,1.40000000,30.00000000,0.00000000,100.00000000,40.53975500,3.51020400,174.04995900,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.23112078,0.41126224,0.00901924,0.00367454,0.02910914,0.03307511,0.02805348,6.22693997,5.40396694,0.00711390,522.15687700,0.00711390
MIX_0034,0.30000000,0.00000000,0.20000000,0.02000000,1.70000000,30.00000000,0.00000000,100.00000000,49.46334700,3.69387800,183.15722400,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.23201341,0.41126224,0.00901924,0.00367454,0.02910914,0.03480579,0.02805348,6.72991097,6.40311882,0.00748614,549.47867400,0.00748614
MIX_0035,0.30000000,0.00000000,0.20000000,0.02000000,2.00000000,30.00000000,0.00000000,100.00000000,58.38693900,3.87755100,192.26449000,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.23290603,0.41126224,0.00901924,0.00367454,0.02910914,0.03653646,0.02805348,7.23288194,7.40227065,0.00785838,576.80047000,0.00785838
MIX_0036,0.30000000,0.00000000,0.20000000,0.03000000,1.10000000,30.00000000,0.00000000,100.00000000,30.90284500,5.04123700,165.94408200,0.00000000,19.36200000,4.85400000,0.24900000,4.83000000,0.70200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,35.06000000,30.05000000,15.03000000,5.06000000,14.81000000,0.30935296,1.23856136,0.41126224,0.00901924,0.00367454,0.02910914,0.04750137,0.02805348,5.74879569,4.40481508,0.00678259,497.83924600,0.00678259
